CLAIM_ID,CLAIM_STATUS
POL045360,0
POL007194,0
POL053680,0
POL028225,0
POL050280,1
POL016746,0
POL002953,0
POL051424,0
POL050788,0
POL021346,1
POL013172,0
POL017306,0
POL050891,0
POL025294,0
POL051837,0
POL051999,0
POL019345,0
POL042405,0
POL025380,0
POL034272,0
POL049690,0
POL018564,0
POL028214,0
POL017795,0
POL031652,0
POL036744,0
POL030074,0
POL025853,0
POL011617,0
POL000310,0
POL000881,0
POL014139,0
POL031268,0
POL044165,1
POL040132,0
POL029975,0
POL012008,1
POL024190,0
POL041165,0
POL046050,0
POL016716,0
POL040465,0
POL021590,0
POL016902,0
POL002198,0
POL044215,0
POL020050,0
POL001057,0
POL015570,0
POL036840,1
POL016671,0
POL014044,0
POL032843,0
POL046578,0
POL039542,0
POL052627,0
POL001445,0
POL039175,0
POL018025,0
POL003401,0
POL022508,0
POL035000,0
POL008080,0
POL018955,0
POL006185,0
POL052055,0
POL009783,0
POL053776,0
POL016795,0
POL051694,0
POL037578,0
POL003559,0
POL003500,0
POL031647,0
POL012478,0
POL038982,1
POL048092,1
POL010579,0
POL007682,0
POL009444,0
POL003734,0
POL041211,0
POL003619,1
POL036330,0
POL009714,0
POL054274,0
POL032074,0
POL031503,0
POL002146,0
POL049207,0
POL035528,0
POL056044,0
POL040300,0
POL006653,0
POL045257,0
POL001657,0
POL024685,0
POL014273,0
POL007581,0
POL054198,0
POL034108,0
POL025111,0
POL054165,0
POL047539,0
POL034433,0
POL048655,0
POL013747,0
POL019335,0
POL041982,0
POL010184,1
POL041633,0
POL050668,0
POL001048,0
POL012776,0
POL025633,0
POL035578,0
POL006585,0
POL010721,0
POL019788,0
POL015734,0
POL026470,0
POL035895,0
POL008967,0
POL010743,0
POL020624,0
POL048930,0
POL051903,0
POL042823,0
POL057713,0
POL028898,0
POL020582,0
POL045739,1
POL018509,0
POL010348,0
POL046732,1
POL035255,0
POL029145,0
POL050945,0
POL057522,0
POL031648,0
POL002851,0
POL048178,0
POL039863,0
POL044885,0
POL047287,0
POL010329,0
POL015561,0
POL036256,0
POL032154,0
POL011376,0
POL028407,0
POL028192,0
POL042186,0
POL010117,0
POL040286,0
POL009024,0
POL039696,0
POL009327,0
POL045304,0
POL025163,0
POL025987,0
POL054865,0
POL047763,0
POL033907,0
POL015898,0
POL012956,0
POL048575,0
POL029743,0
POL040443,0
POL034346,1
POL005568,0
POL021930,0
POL013249,0
POL030007,0
POL058303,1
POL000273,0
POL033295,0
POL038258,0
POL004553,0
POL037692,0
POL008957,1
POL004142,0
POL051047,0
POL010586,0
POL001142,0
POL001703,0
POL006441,0
POL029197,0
POL001010,0
POL005407,0
POL028131,0
POL028999,0
POL050407,1
POL035399,0
POL034507,0
POL003953,0
POL008453,0
POL018599,0
POL057118,0
POL019732,0
POL023002,0
POL029032,0
POL008972,0
POL011504,0
POL037909,0
POL053487,1
POL036778,0
POL004253,0
POL023415,0
POL050480,0
POL036802,0
POL005904,0
POL039312,0
POL013828,0
POL003371,0
POL038088,0
POL001499,0
POL002731,0
POL051019,0
POL049867,0
POL001200,0
POL030028,0
POL048134,0
POL049468,1
POL051146,0
POL052414,0
POL052071,0
POL021973,0
POL023554,0
POL034025,1
POL005162,0
POL007383,0
POL055255,1
POL027477,0
POL040452,0
POL001511,0
POL009920,0
POL019709,1
POL017351,1
POL009484,0
POL006320,0
POL053166,0
POL040171,0
POL017053,0
POL005199,0
POL038795,0
POL016576,0
POL043015,0
POL008269,0
POL043882,0
POL039622,0
POL013907,0
POL017914,0
POL023547,0
POL017444,0
POL014658,0
POL056688,0
POL033969,0
POL031639,0
POL033904,0
POL045914,1
POL002695,0
POL032185,0
POL001314,0
POL011568,0
POL009105,0
POL054512,0
POL012512,0
POL055204,0
POL039318,0
POL046044,0
POL000510,0
POL026292,0
POL052344,0
POL008324,0
POL048625,0
POL049539,0
POL002984,0
POL039963,1
POL018231,0
POL006236,0
POL041601,0
POL000218,0
POL033247,0
POL006214,0
POL019014,0
POL007463,0
POL052318,0
POL047003,0
POL054231,0
POL008893,0
POL054071,0
POL035662,0
POL017364,0
POL029097,0
POL052894,0
POL054397,0
POL017343,0
POL036610,0
POL026818,0
POL006248,0
POL048416,0
POL031962,0
POL047305,0
POL007028,0
POL009062,0
POL030300,0
POL027221,1
POL014929,0
POL024289,0
POL037533,0
POL049262,1
POL038552,0
POL037901,0
POL053194,0
POL028259,0
POL010005,0
POL042012,0
POL057357,0
POL025453,0
POL027378,0
POL049607,0
POL056618,0
POL049624,0
POL042149,0
POL015775,0
POL051956,0
POL023083,0
POL007873,0
POL048254,0
POL004461,0
POL048241,0
POL025369,0
POL042389,0
POL000185,0
POL055436,0
POL008482,0
POL024064,0
POL018645,0
POL056654,0
POL010974,0
POL027890,0
POL039038,0
POL045030,0
POL019169,0
POL056034,0
POL006927,1
POL010420,0
POL051775,0
POL031537,0
POL029498,0
POL018815,0
POL057767,0
POL016696,0
POL031980,0
POL054455,0
POL015099,0
POL002450,0
POL034860,0
POL023535,1
POL046137,1
POL042698,0
POL054490,0
POL017056,0
POL056633,1
POL008847,0
POL005596,0
POL056268,0
POL003737,1
POL011263,0
POL044669,0
POL030016,0
POL001448,0
POL013342,0
POL050605,0
POL015738,0
POL033824,0
POL034013,0
POL014927,0
POL004108,1
POL051829,0
POL004355,0
POL027590,0
POL027330,0
POL003413,0
POL029886,0
POL040488,1
POL012269,0
POL027466,0
POL004371,0
POL013983,0
POL024570,0
POL012584,0
POL019664,1
POL025592,0
POL040381,0
POL016419,0
POL019726,0
POL000115,0
POL028702,1
POL024676,0
POL026532,0
POL056918,0
POL042031,0
POL038763,0
POL000332,0
POL035144,1
POL043067,0
POL031830,0
POL020519,0
POL012838,0
POL025449,0
POL052378,0
POL049440,0
POL044789,1
POL029095,0
POL050638,0
POL035691,0
POL031779,0
POL023754,0
POL033191,0
POL048712,0
POL005553,0
POL008468,0
POL033079,0
POL026553,0
POL003765,0
POL016184,1
POL018693,0
POL037658,0
POL030181,0
POL058534,0
POL023314,0
POL016328,0
POL053190,1
POL022554,0
POL006588,0
POL047325,0
POL022121,0
POL018544,0
POL014043,0
POL036619,0
POL057867,0
POL017728,0
POL044735,0
POL009222,0
POL006340,0
POL000554,0
POL052466,0
POL032263,0
POL035320,0
POL057891,0
POL033356,0
POL032681,0
POL011620,0
POL052189,0
POL035816,0
POL033360,0
POL035118,0
POL042116,0
POL002472,0
POL016945,0
POL038925,0
POL052959,0
POL052031,0
POL020169,0
POL036783,0
POL051303,1
POL019101,0
POL034876,0
POL031739,0
POL037008,0
POL023427,0
POL039320,0
POL031785,1
POL044536,0
POL009912,0
POL015494,0
POL031188,0
POL026696,0
POL002502,0
POL054844,0
POL000531,0
POL001072,0
POL031307,0
POL031995,0
POL049205,0
POL057438,0
POL008462,0
POL058389,0
POL010729,0
POL049051,0
POL052073,0
POL055597,0
POL033900,0
POL040406,0
POL034343,0
POL047726,0
POL044073,0
POL004165,0
POL055521,0
POL038656,1
POL053071,0
POL012165,0
POL012306,0
POL020110,0
POL039371,0
POL055328,1
POL053218,0
POL025255,0
POL041511,0
POL009922,0
POL026566,0
POL010024,0
POL024922,0
POL050096,0
POL007808,0
POL054982,0
POL057128,0
POL028978,0
POL036657,0
POL018216,1
POL018637,1
POL042200,0
POL052326,0
POL053357,0
POL034044,0
POL015191,1
POL020776,0
POL032739,0
POL012032,0
POL054405,0
POL012290,0
POL043607,0
POL020943,0
POL019252,0
POL001841,0
POL042432,0
POL033361,0
POL013787,0
POL037238,0
POL054588,0
POL011769,0
POL020096,0
POL001900,1
POL007820,0
POL042926,0
POL048518,0
POL033532,0
POL011700,0
POL024814,0
POL001128,0
POL017070,0
POL058147,0
POL033054,1
POL055258,0
POL035856,0
POL018419,0
POL027174,0
POL056481,0
POL045735,0
POL021786,1
POL000993,0
POL011650,0
POL010890,0
POL045177,0
POL012170,0
POL044806,1
POL007852,0
POL021693,0
POL000822,0
POL041192,0
POL017741,0
POL040898,0
POL026036,0
POL038824,0
POL046584,0
POL052135,1
POL029461,0
POL038009,1
POL035116,0
POL028383,1
POL011535,0
POL003474,0
POL030988,0
POL046328,0
POL012551,0
POL036617,0
POL019517,0
POL030609,0
POL019545,0
POL048485,0
POL032192,0
POL057925,0
POL006291,0
POL005241,0
POL047596,0
POL052264,0
POL012303,0
POL028219,0
POL034295,0
POL023685,0
POL030544,0
POL057557,0
POL042743,1
POL023145,0
POL047972,0
POL041759,0
POL050343,0
POL020683,0
POL056551,0
POL022405,0
POL056921,0
POL014984,0
POL044750,0
POL010459,0
POL017042,1
POL022532,0
POL025586,0
POL037937,0
POL001439,0
POL030875,0
POL049694,0
POL039884,0
POL019775,0
POL037960,0
POL027024,0
POL037941,0
POL044792,0
POL018534,0
POL049082,0
POL036143,0
POL047007,0
POL036173,0
POL023993,0
POL001904,0
POL041539,0
POL035009,0
POL019887,0
POL046453,0
POL010846,0
POL021106,1
POL048567,0
POL058100,0
POL002030,0
POL050183,0
POL050012,0
POL000326,0
POL002469,0
POL028151,0
POL011380,0
POL038347,0
POL043753,0
POL008066,0
POL023226,1
POL048511,0
POL030017,0
POL037465,0
POL010047,0
POL002321,0
POL026231,0
POL007314,0
POL038018,0
POL048747,0
POL003326,0
POL022966,0
POL039354,0
POL026754,0
POL019992,0
POL046016,0
POL047829,0
POL025893,0
POL037847,0
POL001618,0
POL050975,0
POL045381,0
POL034644,0
POL034584,0
POL043512,0
POL005839,0
POL010675,0
POL005153,0
POL040783,0
POL033326,0
POL036323,0
POL000840,0
POL024675,0
POL019189,0
POL006132,0
POL022924,0
POL013299,0
POL022171,1
POL027598,0
POL030023,0
POL038707,0
POL042993,0
POL041080,0
POL017535,0
POL023619,0
POL034903,0
POL017227,0
POL047414,0
POL052918,0
POL014191,0
POL019040,0
POL000917,0
POL050083,0
POL055161,0
POL028760,0
POL018555,0
POL027688,0
POL052160,0
POL007219,0
POL023742,0
POL016797,0
POL011625,0
POL017004,0
POL005853,0
POL057040,0
POL020126,0
POL025864,0
POL043743,0
POL008996,0
POL048866,0
POL033524,0
POL030526,0
POL028732,0
POL033434,0
POL022714,0
POL030424,0
POL057194,0
POL017507,0
POL038927,0
POL018656,1
POL007606,0
POL021600,0
POL054065,0
POL020429,0
POL038952,1
POL036814,0
POL014691,0
POL053824,0
POL042010,0
POL041708,0
POL000101,0
POL023117,0
POL017803,0
POL051656,0
POL041730,0
POL000426,0
POL001560,0
POL046242,0
POL044656,0
POL027318,0
POL027127,0
POL053191,0
POL038077,0
POL046265,0
POL015084,0
POL011444,0
POL033083,0
POL056130,0
POL010865,0
POL054031,0
POL031698,0
POL014242,0
POL038764,0
POL055254,0
POL038480,0
POL001641,0
POL021456,0
POL034508,1
POL023983,0
POL047488,0
POL018746,0
POL013412,0
POL035455,0
POL006799,0
POL013175,0
POL049858,0
POL052234,0
POL055652,0
POL017172,0
POL047672,0
POL009367,0
POL045979,0
POL027664,0
POL037444,0
POL002227,0
POL022779,0
POL053241,0
POL046670,0
POL000669,0
POL018889,0
POL010531,0
POL029236,0
POL020462,0
POL042657,0
POL032633,0
POL037634,0
POL035101,0
POL013158,0
POL035165,1
POL049785,0
POL017978,0
POL056084,0
POL006255,0
POL044910,0
POL024058,0
POL030352,0
POL022162,0
POL042689,0
POL049982,0
POL001068,0
POL048695,0
POL018484,0
POL048172,0
POL032792,0
POL044034,1
POL052316,0
POL044505,0
POL017555,0
POL027911,0
POL004143,0
POL049760,0
POL055623,0
POL007559,0
POL010282,0
POL007435,0
POL047319,0
POL016866,0
POL058482,1
POL017657,0
POL047744,0
POL019682,0
POL035899,0
POL006334,0
POL052932,0
POL004658,0
POL006884,0
POL018365,0
POL032953,0
POL024833,0
POL025966,0
POL030619,0
POL001651,0
POL014532,0
POL016383,0
POL054560,0
POL030532,0
POL035048,0
POL014527,0
POL051377,0
POL042953,0
POL023863,0
POL058301,0
POL003195,0
POL054008,0
POL044316,0
POL027232,0
POL049707,0
POL032372,0
POL055757,0
POL038384,0
POL055530,0
POL017906,0
POL017261,0
POL039113,0
POL036052,0
POL054704,0
POL006113,0
POL027668,0
POL025828,0
POL050292,0
POL015907,0
POL041593,1
POL045608,0
POL058583,0
POL027039,0
POL024987,0
POL040632,0
POL005144,0
POL008017,0
POL033835,0
POL046979,0
POL016850,0
POL047307,0
POL004247,0
POL057218,0
POL034818,0
POL032991,0
POL055830,0
POL020996,1
POL040461,0
POL050533,0
POL044888,0
POL041100,0
POL029144,0
POL023715,0
POL000535,1
POL020357,0
POL042970,0
POL030960,0
POL052343,0
POL032045,0
POL017181,0
POL016115,0
POL034809,0
POL022416,0
POL009642,0
POL034513,0
POL037726,0
POL037657,0
POL037983,0
POL012814,0
POL022697,0
POL051700,0
POL005594,0
POL011272,0
POL057354,0
POL036289,0
POL036455,0
POL038112,0
POL009724,0
POL008971,0
POL020293,0
POL042721,0
POL029430,0
POL019635,0
POL001652,0
POL018664,0
POL053351,0
POL018704,0
POL012858,0
POL012371,0
POL035780,0
POL004098,0
POL014239,0
POL010856,0
POL047678,0
POL016765,0
POL049555,0
POL005586,0
POL021577,0
POL041537,0
POL057800,0
POL017093,0
POL057826,0
POL011957,0
POL049083,0
POL033955,0
POL004052,0
POL030733,0
POL020852,0
POL029311,0
POL052277,0
POL019005,0
POL013464,0
POL058515,0
POL040634,1
POL056060,0
POL018879,0
POL017745,0
POL007307,0
POL003206,0
POL023239,0
POL027932,0
POL047666,0
POL003088,0
POL004498,0
POL015473,0
POL023558,0
POL010773,1
POL041930,0
POL014067,0
POL058167,0
POL029639,0
POL010240,0
POL052746,0
POL039106,0
POL003584,0
POL010410,0
POL009585,0
POL026510,0
POL000412,0
POL039109,0
POL058002,0
POL007615,0
POL008807,0
POL054913,0
POL025885,0
POL036328,0
POL047632,0
POL012372,1
POL010529,0
POL026891,0
POL051549,1
POL033232,0
POL023152,0
POL032189,0
POL023209,0
POL028291,0
POL034914,0
POL039259,0
POL035290,0
POL042469,0
POL045110,0
POL053794,0
POL034626,0
POL055396,0
POL030453,0
POL012033,0
POL040975,0
POL021348,0
POL050683,0
POL032988,0
POL042846,0
POL028925,0
POL041685,0
POL018005,0
POL009390,0
POL057169,0
POL033578,0
POL016038,0
POL011603,0
POL023510,0
POL004673,0
POL037650,0
POL028333,1
POL005412,0
POL024919,1
POL001626,0
POL048400,0
POL037654,0
POL003964,0
POL021082,0
POL008782,0
POL007898,1
POL054210,0
POL051654,1
POL007151,0
POL026588,0
POL018893,0
POL045320,0
POL047006,0
POL031363,0
POL039273,0
POL006061,0
POL022337,0
POL017582,0
POL045404,0
POL036486,0
POL030459,0
POL013149,0
POL044100,0
POL014756,0
POL045358,0
POL038955,0
POL048533,0
POL013587,0
POL055876,0
POL043798,0
POL021563,0
POL039514,0
POL046710,1
POL001611,0
POL053265,0
POL046984,0
POL044009,0
POL036324,0
POL035434,0
POL015040,0
POL038578,0
POL005226,0
POL027401,0
POL037239,0
POL031776,0
POL033834,0
POL001683,0
POL050372,0
POL011958,0
POL047515,0
POL046308,0
POL024735,0
POL012289,0
POL005574,0
POL021584,0
POL033810,0
POL041741,0
POL018556,0
POL046852,0
POL033876,0
POL007822,0
POL051274,0
POL028188,0
POL047277,0
POL053124,0
POL048582,0
POL050760,0
POL003632,0
POL011069,0
POL020721,1
POL005881,0
POL016207,0
POL047541,0
POL014635,1
POL016606,0
POL050603,0
POL023752,0
POL007417,0
POL032391,0
POL036054,0
POL016463,0
POL000518,0
POL009301,0
POL004965,0
POL058189,0
POL023574,0
POL028308,0
POL029261,0
POL049710,0
POL015314,0
POL031793,0
POL049701,0
