CUSTOMER_ID,CUSTOMER_AGE,REGION_DENSITY
POL045360,41,8794
POL007194,44,8794
POL053680,36,6112
POL028225,55,34738
POL050280,41,27003
POL016746,36,4076
POL002953,43,290
POL051424,36,27003
POL050788,46,4076
POL021346,41,73430
POL013172,43,27003
POL017306,41,4076
POL050891,36,8794
POL025294,40,5410
POL051837,44,27003
POL051999,38,5410
POL019345,39,34738
POL042405,35,27742
POL025380,49,4076
POL034272,35,17804
POL049690,47,8794
POL018564,53,34738
POL028214,39,290
POL017795,47,4076
POL031652,42,6108
POL036744,44,13051
POL030074,40,34738
POL025853,44,27003
POL011617,37,6112
POL000310,57,17804
POL000881,36,7788
POL014139,36,290
POL031268,52,8794
POL044165,41,27003
POL040132,40,65567
POL029975,40,8794
POL012008,57,34738
POL024190,40,8794
POL041165,49,5410
POL046050,53,8794
POL016716,58,4076
POL040465,53,34738
POL021590,40,7788
POL016902,45,4076
POL002198,43,34738
POL044215,39,290
POL020050,57,34738
POL001057,55,8794
POL015570,35,6112
POL036840,40,34791
POL016671,44,21622
POL014044,57,4076
POL032843,35,27003
POL046578,45,8794
POL039542,45,13051
POL052627,41,4076
POL001445,51,4076
POL039175,44,17804
POL018025,39,27003
POL003401,41,16206
POL022508,51,8794
POL035000,38,4076
POL008080,35,8794
POL018955,39,73430
POL006185,36,8794
POL052055,44,27003
POL009783,43,4076
POL053776,40,7788
POL016795,48,8794
POL051694,47,5410
POL037578,39,4076
POL003559,57,34738
POL003500,48,34738
POL031647,43,7788
POL012478,41,8794
POL038982,51,6108
POL048092,45,34738
POL010579,35,34791
POL007682,43,34738
POL009444,44,73430
POL003734,37,27003
POL041211,37,34738
POL003619,36,73430
POL036330,38,4076
POL009714,39,4990
POL054274,54,8794
POL032074,42,4076
POL031503,45,27003
POL002146,50,34738
POL049207,60,8794
POL035528,35,4076
POL056044,50,8794
POL040300,52,8794
POL006653,48,6108
POL045257,44,34738
POL001657,40,34738
POL024685,51,5410
POL014273,38,290
POL007581,46,34738
POL054198,39,17804
POL034108,52,6112
POL025111,44,8794
POL054165,36,8794
POL047539,51,27003
POL034433,39,27003
POL048655,41,8794
POL013747,45,27003
POL019335,47,17804
POL041982,54,13051
POL010184,59,7788
POL041633,44,27742
POL050668,42,7788
POL001048,43,7788
POL012776,37,8794
POL025633,46,27003
POL035578,48,17804
POL006585,41,27003
POL010721,42,73430
POL019788,36,4076
POL015734,50,27742
POL026470,48,34738
POL035895,49,8794
POL008967,49,7788
POL010743,52,8794
POL020624,39,21622
