POLICY_ID,SUBSCRIPTION_LENGTH,REGION_CODE,SEGMENT
POL045360,9.3,C8,C2
POL007194,9.5,C8,C2
POL053680,3.1,C7,B2
POL028225,10.7,C5,B1
POL050280,10.2,C2,C2
POL016746,5.6,C3,A
POL002953,9.7,C15,A
POL051424,0.9,C2,C2
POL050788,1.3,C3,A
POL021346,10.9,C10,B2
POL013172,8.3,C2,B2
POL017306,0.8,C3,B1
POL050891,2.8,C8,B2
POL025294,0.2,C13,B2
POL051837,6.4,C2,A
POL051999,12.1,C13,B2
POL019345,2.6,C5,A
POL042405,4.6,C19,A
POL025380,2.7,C3,Utility
POL034272,10.9,C9,A
POL049690,2.2,C8,B2
POL018564,0.4,C5,A
POL028214,11.7,C15,B2
POL017795,10.6,C3,B2
POL031652,3.8,C11,B2
POL036744,5,C6,C1
POL030074,1.1,C5,C1
POL025853,1.5,C2,B2
POL011617,2.8,C7,A
POL000310,11.2,C9,A
POL000881,12.4,C14,B2
POL014139,4.3,C15,A
POL031268,5,C8,B2
POL044165,12.2,C2,C1
POL040132,12.3,C17,C2
POL029975,1.1,C8,C2
POL012008,11.1,C5,B1
POL024190,10.7,C8,C2
POL041165,6.8,C13,C2
POL046050,11.8,C8,C2
POL016716,8.5,C3,A
POL040465,5.3,C5,A
POL021590,0.4,C14,B2
POL016902,3.1,C3,B2
POL002198,4.4,C5,A
POL044215,2.1,C15,B1
POL020050,7.6,C5,A
POL001057,11.7,C8,C2
POL015570,0.9,C7,C2
POL036840,5.7,C12,A
POL016671,0.9,C4,C2
POL014044,3.4,C3,B2
POL032843,0.2,C2,B1
POL046578,5.6,C8,C2
POL039542,2.7,C6,A
POL052627,3.8,C3,B1
POL001445,1.4,C3,A
POL039175,2.8,C9,B1
POL018025,10.3,C2,B2
POL003401,0.1,C16,C1
POL022508,10.8,C8,A
POL035000,10.8,C3,B2
POL008080,6.4,C8,B2
POL018955,1.6,C10,C2
POL006185,10.4,C8,B2
POL052055,3.8,C2,B2
POL009783,3.5,C3,A
POL053776,10.3,C14,C2
POL016795,11.9,C8,A
POL051694,0,C13,C2
POL037578,0.4,C3,A
POL003559,2.4,C5,A
POL003500,10.9,C5,B1
POL031647,10.1,C14,C2
POL012478,6.6,C8,B2
POL038982,10.3,C11,B2
POL048092,8.6,C5,A
POL010579,1.3,C12,A
POL007682,2.4,C5,C2
POL009444,0.4,C10,A
POL003734,10.2,C2,C2
POL041211,5.8,C5,B1
POL003619,5.5,C10,Utility
POL036330,0.4,C3,A
POL009714,11.3,C1,B2
POL054274,11.1,C8,B2
POL032074,3.6,C3,A
POL031503,10.8,C2,B2
POL002146,4.3,C5,A
POL049207,11.3,C8,B2
POL035528,0.9,C3,B2
POL056044,1.7,C8,Utility
POL040300,12.3,C8,C2
POL006653,2.2,C11,C2
POL045257,8.9,C5,B2
POL001657,2.6,C5,B2
POL024685,10.1,C13,Utility
POL014273,0.8,C15,C2
POL007581,2.5,C5,C2
POL054198,1.6,C9,A
POL034108,11.7,C7,C1
POL025111,12.2,C8,B2
POL054165,4.5,C8,C1
POL047539,11.4,C2,B2
POL034433,7,C2,C2
POL048655,10.6,C8,C1
POL013747,8.7,C2,C2
POL019335,1,C9,B2
POL041982,0.8,C6,A
POL010184,9.7,C14,B2
POL041633,10.7,C19,C2
POL050668,11.6,C14,C2
POL001048,11.3,C14,B2
POL012776,10.3,C8,B2
POL025633,1.7,C2,B1
POL035578,4,C9,A
POL006585,7.8,C2,B2
POL010721,7.2,C10,A
POL019788,1.6,C3,A
POL015734,0.7,C19,C2
POL026470,5.6,C5,C2
POL035895,12.3,C8,C2
POL008967,11.5,C14,C2
POL010743,12.1,C8,B2
POL020624,9,C4,C1
POL048930,1,C16,C1
POL051903,6,C5,A
POL042823,2.1,C14,C2
POL057713,2.3,C2,A
POL028898,0.4,C3,A
POL020582,5.8,C19,A
POL045739,10.7,C8,C2
POL018509,10.7,C1,B1
POL010348,0.9,C3,A
POL046732,7.9,C18,A
POL035255,3.3,C18,A
POL029145,10.3,C2,B2
POL050945,7.8,C6,A
POL057522,5.4,C8,C2
POL031648,0.9,C15,C2
POL002851,3.5,C8,Utility
POL048178,11.9,C8,B2
POL039863,11.8,C2,A
POL044885,0.6,C5,B1
POL047287,7.3,C5,B2
POL010329,0.9,C8,A
POL015561,12,C12,B1
POL036256,4.3,C8,Utility
POL032154,0.9,C10,C2
POL011376,5,C10,A
POL028407,4.1,C12,B2
POL028192,10.1,C7,B2
POL042186,0.5,C3,B2
POL010117,0.9,C9,C2
POL040286,6.6,C2,A
POL009024,6.3,C3,A
POL039696,0.9,C9,C2
POL009327,0.9,C2,B2
POL045304,3,C3,B1
POL025163,0.3,C3,A
POL025987,2.8,C3,Utility
POL054865,1.2,C2,A
POL047763,2,C10,A
POL033907,11.8,C8,Utility
POL015898,3.7,C2,C2
POL012956,1.7,C9,A
POL048575,1.4,C2,C2
POL029743,6.6,C11,A
POL040443,2.5,C3,A
POL034346,12.3,C5,C2
POL005568,7.2,C3,A
POL021930,12.3,C8,B2
POL013249,1,C22,B2
POL030007,0.1,C8,B2
POL058303,12.2,C14,B2
POL000273,0.5,C12,B2
POL033295,11.7,C12,B2
POL038258,0.4,C3,A
POL004553,0.8,C15,A
POL037692,2.8,C5,B1
POL008957,1,C10,A
POL004142,10,C9,B2
POL051047,5.9,C5,B2
POL010586,1.5,C13,B2
POL001142,1.7,C2,C2
POL001703,4.5,C20,A
POL006441,3.2,C13,A
POL029197,5.3,C8,C2
POL001010,4.8,C5,B2
POL005407,0.9,C3,A
POL028131,1.6,C19,C2
POL028999,0.1,C7,C2
POL050407,10.5,C2,B2
POL035399,10.7,C12,B2
POL034507,1.8,C7,B2
POL003953,11.2,C6,B2
POL008453,1.2,C5,A
POL018599,7.1,C8,C2
POL057118,8,C9,C2
POL019732,9.4,C8,B1
POL023002,3.7,C12,C2
POL029032,0.3,C8,C2
POL008972,10.7,C14,A
POL011504,0.5,C3,A
POL037909,0.3,C8,C2
POL053487,8,C19,B2
POL036778,0.6,C11,C1
POL004253,6.1,C17,A
POL023415,11.4,C11,A
POL050480,10.5,C8,C2
POL036802,7.5,C5,A
POL005904,10.4,C2,B2
POL039312,2.9,C15,C1
POL013828,10.2,C7,B2
POL003371,11.4,C11,Utility
POL038088,0.9,C15,B2
POL001499,12.3,C8,B2
POL002731,5.7,C5,C2
POL051019,11.2,C3,C1
POL049867,5.7,C10,A
POL001200,5.4,C13,B2
POL030028,4.7,C17,A
POL048134,9,C3,A
POL049468,10.3,C8,B2
POL051146,0.9,C2,C1
POL052414,10.6,C11,B2
POL052071,11.9,C13,C2
POL021973,0.7,C3,B2
POL023554,0.1,C5,A
POL034025,8.1,C8,B1
POL005162,10.4,C13,Utility
POL007383,0.9,C7,C2
POL055255,10.3,C13,C2
POL027477,10,C8,B2
POL040452,7.8,C14,C2
POL001511,3.7,C11,B2
POL009920,7.1,C8,B2
POL019709,5.7,C15,B2
POL017351,2.2,C4,B1
POL009484,9.6,C5,A
POL006320,0.8,C7,C2
POL053166,9.9,C2,B1
POL040171,11.4,C14,C2
POL017053,1.5,C8,B2
POL005199,10.1,C9,C2
POL038795,10.1,C2,B2
POL016576,0.7,C9,B2
POL043015,0.7,C1,B2
POL008269,10.9,C8,B1
POL043882,4.5,C13,C2
POL039622,0.8,C5,B2
POL013907,10.7,C8,B2
POL017914,11.9,C13,C2
POL023547,4,C2,B2
POL017444,11.1,C8,A
POL014658,0.1,C8,B2
POL056688,6.7,C16,A
POL033969,10.6,C11,B2
POL031639,6.9,C3,A
POL033904,11.3,C5,B1
POL045914,3.3,C8,C2
POL002695,2,C3,C1
POL032185,1.8,C17,B2
POL001314,8.1,C19,B2
POL011568,11.2,C15,A
POL009105,10.4,C14,B2
POL054512,11.5,C5,B2
POL012512,2.9,C8,C1
POL055204,3.9,C13,C1
POL039318,11.7,C13,A
POL046044,0.4,C2,A
POL000510,9.9,C14,B2
POL026292,0.7,C10,A
POL052344,0.8,C3,A
POL008324,10.5,C14,C2
POL048625,5.6,C17,A
POL049539,1.7,C2,A
POL002984,12.2,C5,C1
POL039963,10,C14,A
POL018231,5.3,C1,A
POL006236,0.4,C7,B2
POL041601,2.5,C5,C2
POL000218,4.8,C2,A
POL033247,4.6,C14,B2
POL006214,5.5,C8,B2
POL019014,8.4,C13,A
POL007463,3.8,C2,C1
POL052318,0.4,C3,A
POL047003,12,C2,Utility
POL054231,0.3,C3,A
POL008893,10.8,C8,C2
POL054071,10.9,C2,C1
POL035662,6.7,C12,B1
POL017364,3,C10,A
POL029097,11.8,C8,B1
POL052894,5,C8,Utility
POL054397,2,C2,B2
POL017343,12.4,C8,C2
POL036610,3.8,C5,C2
POL026818,5.1,C2,C2
POL006248,2.7,C9,C2
POL048416,0.4,C2,C2
POL031962,12,C8,B2
POL047305,3.5,C3,A
POL007028,0.6,C5,A
POL009062,2.9,C19,C2
POL030300,8.3,C3,B2
POL027221,12.3,C14,B2
POL014929,9.9,C3,B2
POL024289,10.8,C3,C2
POL037533,2.3,C1,A
POL049262,4.7,C12,A
POL038552,7.7,C2,B2
POL037901,0.1,C8,B2
POL053194,0.3,C16,B2
POL028259,2.2,C3,A
POL010005,1.2,C6,B2
POL042012,11,C5,A
POL057357,6.2,C8,A
POL025453,4.6,C2,B1
POL027378,10.9,C8,B2
POL049607,8.4,C7,A
POL056618,0.9,C10,A
POL049624,7.3,C21,B2
POL042149,10.6,C5,C2
POL015775,5.9,C10,B2
POL051956,5.4,C3,A
POL023083,3.4,C5,C1
POL007873,3,C6,A
POL048254,11.8,C5,C2
POL004461,11,C8,C1
POL048241,11,C8,C1
POL025369,11.2,C8,C2
POL042389,6.2,C10,A
POL000185,11.9,C8,B1
POL055436,11.2,C8,C2
POL008482,10.3,C9,B2
POL024064,7.4,C8,A
POL018645,3.1,C16,B1
POL056654,3.6,C8,C2
POL010974,1.7,C2,C1
POL027890,10.8,C10,C1
POL039038,8.9,C7,A
POL045030,0.9,C5,B2
POL019169,6.9,C9,A
POL056034,1.3,C8,B2
POL006927,2.2,C9,B2
POL010420,10.3,C5,B2
POL051775,1.7,C22,Utility
POL031537,10,C2,C2
POL029498,2.9,C10,C2
POL018815,5.3,C7,A
POL057767,3.2,C13,A
POL016696,10.5,C8,B2
POL031980,1.5,C2,A
POL054455,5.6,C12,A
POL015099,0.3,C5,A
POL002450,11.4,C8,B2
POL034860,3.4,C7,A
POL023535,10.6,C19,B2
POL046137,0.2,C12,A
POL042698,0.7,C10,C1
POL054490,3.2,C7,A
POL017056,3,C17,B2
POL056633,6.4,C3,B1
POL008847,2.4,C7,B2
POL005596,2.5,C12,A
POL056268,5.5,C10,B2
POL003737,0.8,C8,C2
POL011263,2.4,C8,B2
POL044669,11,C5,A
POL030016,5.4,C8,B1
POL001448,10.7,C21,A
POL013342,12.4,C5,B2
POL050605,2.9,C8,B1
POL015738,0.8,C5,C2
POL033824,10.4,C8,B2
POL034013,5.4,C8,C2
POL014927,5.3,C10,B2
POL004108,10.2,C2,Utility
POL051829,1,C3,B2
POL004355,9.3,C5,B2
POL027590,3,C16,A
POL027330,11.8,C8,C2
POL003413,11,C3,Utility
POL029886,4.1,C7,C2
POL040488,0.8,C5,C2
POL012269,11,C8,B2
POL027466,7.6,C5,A
POL004371,10,C2,B2
POL013983,3.8,C8,B2
POL024570,1,C2,C2
POL012584,4.5,C13,B2
POL019664,8.4,C8,C2
POL025592,8.5,C8,C2
POL040381,12.4,C8,B2
POL016419,0.5,C8,B1
POL019726,0.6,C18,A
POL000115,9,C8,B2
POL028702,3.8,C6,A
POL024676,2.8,C2,C2
POL026532,11.4,C8,B2
POL056918,11.8,C11,B2
POL042031,5.2,C2,B2
POL038763,6.1,C8,C2
POL000332,10.6,C2,B2
POL035144,12.4,C7,A
POL043067,4.4,C5,C1
POL031830,0.7,C3,A
POL020519,0.3,C5,A
POL012838,5.2,C5,B2
POL025449,0.4,C8,B2
POL052378,2.5,C5,A
POL049440,2.7,C13,C2
POL044789,9.3,C1,A
POL029095,12.1,C5,B2
POL050638,1.5,C2,C2
POL035691,11.9,C7,C2
POL031779,0.7,C5,C2
POL023754,6,C5,C1
POL033191,11,C2,A
POL048712,9.2,C8,C2
POL005553,1.5,C2,A
POL008468,0.8,C5,B2
POL033079,1,C10,B2
POL026553,10.7,C12,A
POL003765,1.4,C5,B2
POL016184,9.7,C11,B2
POL018693,1.7,C8,B2
POL037658,7.6,C5,A
POL030181,1.7,C2,C2
POL058534,1.7,C13,B2
POL023314,4.3,C7,A
POL016328,2.4,C14,C2
POL053190,9.9,C3,B2
POL022554,4,C8,B2
POL006588,4.9,C10,C2
POL047325,10.7,C2,A
POL022121,12,C7,C2
POL018544,2,C8,B2
POL014043,3.5,C3,B1
POL036619,10.8,C2,C2
POL057867,3.2,C5,B2
POL017728,12.3,C2,C2
POL044735,0.8,C13,C2
POL009222,10.8,C8,C2
POL006340,9,C8,C2
POL000554,1,C3,B1
POL052466,6.7,C9,A
POL032263,8.2,C21,C1
POL035320,11.6,C9,C2
POL057891,1.4,C5,B1
POL033356,3,C8,B1
POL032681,2.6,C9,A
POL011620,3.1,C7,A
POL052189,10.7,C13,B2
POL035816,2.1,C17,A
POL033360,3.9,C7,A
POL035118,3,C8,C2
POL042116,4.8,C12,B2
POL002472,5.1,C3,A
POL016945,7.5,C2,A
POL038925,4.6,C15,A
POL052959,10.7,C14,C1
POL052031,6.3,C5,B2
POL020169,12,C3,C2
POL036783,5.9,C5,C2
POL051303,10.4,C8,C2
POL019101,3.3,C3,A
POL034876,6.6,C19,A
POL031739,5.9,C2,B2
POL037008,3.8,C5,A
POL023427,5.4,C11,A
POL039320,0.8,C3,B1
POL031785,10.9,C2,C2
POL044536,1.1,C9,A
POL009912,5,C10,A
POL015494,11.2,C8,B2
POL031188,10.5,C19,C2
POL026696,2.2,C2,C2
POL002502,9.9,C5,A
POL054844,4.7,C13,B2
POL000531,12.2,C8,B2
POL001072,6.6,C15,A
POL031307,11.4,C13,B1
POL031995,1.5,C8,B2
POL049205,6.1,C5,A
